country,allLanguageUsed
http://www.wikidata.org/entity/Q858,http://www.wikidata.org/entity/Q34040; http://www.wikidata.org/entity/Q34226; http://www.wikidata.org/entity/Q36163; http://www.wikidata.org/entity/Q56232; http://www.wikidata.org/entity/Q56467; http://www.wikidata.org/entity/Q56574; http://www.wikidata.org/entity/Q56577; http://www.wikidata.org/entity/Q3393063; http://www.wikidata.org/entity/Q22809485
http://www.wikidata.org/entity/Q863,http://www.wikidata.org/entity/Q7737; http://www.wikidata.org/entity/Q9255; http://www.wikidata.org/entity/Q9260; http://www.wikidata.org/entity/Q33419; http://www.wikidata.org/entity/Q34053; http://www.wikidata.org/entity/Q34186; http://www.wikidata.org/entity/Q34208; http://www.wikidata.org/entity/Q34247; http://www.wikidata.org/entity/Q56833; http://www.wikidata.org/entity/Q1066766; http://www.wikidata.org/entity/Q1135134; http://www.wikidata.org/entity/Q16112855
http://www.wikidata.org/entity/Q865,http://www.wikidata.org/entity/Q5146; http://www.wikidata.org/entity/Q7850; http://www.wikidata.org/entity/Q9192; http://www.wikidata.org/entity/Q33375; http://www.wikidata.org/entity/Q34019; http://www.wikidata.org/entity/Q35132; http://www.wikidata.org/entity/Q36435; http://www.wikidata.org/entity/Q36495; http://www.wikidata.org/entity/Q36778; http://www.wikidata.org/entity/Q49232; http://www.wikidata.org/entity/Q56505; http://www.wikidata.org/entity/Q172244; http://www.wikidata.org/entity/Q676492; http://www.wikidata.org/entity/Q715755; http://www.wikidata.org/entity/Q715760; http://www.wikidata.org/entity/Q715766; http://www.wikidata.org/entity/Q716599; http://www.wikidata.org/entity/Q716604; http://www.wikidata.org/entity/Q716615; http://www.wikidata.org/entity/Q716627; http://www.wikidata.org/entity/Q716647; http://www.wikidata.org/entity/Q716681; http://www.wikidata.org/entity/Q716686; http://www.wikidata.org/entity/Q716690; http://www.wikidata.org/entity/Q716695; http://www.wikidata.org/entity/Q727694; http://www.wikidata.org/entity/Q2094884; http://www.wikidata.org/entity/Q2490115; http://www.wikidata.org/entity/Q2779411; http://www.wikidata.org/entity/Q9668261; http://www.wikidata.org/entity/Q17038519
http://www.wikidata.org/entity/Q869,http://www.wikidata.org/entity/Q9217; http://www.wikidata.org/entity/Q13349; http://www.wikidata.org/entity/Q33335; http://www.wikidata.org/entity/Q33417; http://www.wikidata.org/entity/Q34780; http://www.wikidata.org/entity/Q36437; http://www.wikidata.org/entity/Q56310; http://www.wikidata.org/entity/Q56410; http://www.wikidata.org/entity/Q56482; http://www.wikidata.org/entity/Q56508; http://www.wikidata.org/entity/Q56643; http://www.wikidata.org/entity/Q56852; http://www.wikidata.org/entity/Q116849; http://www.wikidata.org/entity/Q565110; http://www.wikidata.org/entity/Q1199751; http://www.wikidata.org/entity/Q2031144; http://www.wikidata.org/entity/Q3033578; http://www.wikidata.org/entity/Q3073453; http://www.wikidata.org/entity/Q3073465; http://www.wikidata.org/entity/Q3082037; http://www.wikidata.org/entity/Q3138831; http://www.wikidata.org/entity/Q3281057; http://www.wikidata.org/entity/Q3319380; http://www.wikidata.org/entity/Q3441103; http://www.wikidata.org/entity/Q3448919; http://www.wikidata.org/entity/Q3502234; http://www.wikidata.org/entity/Q3503717; http://www.wikidata.org/entity/Q3626597; http://www.wikidata.org/entity/Q3914630; http://www.wikidata.org/entity/Q3915665; http://www.wikidata.org/entity/Q4925096; http://www.wikidata.org/entity/Q4925684; http://www.wikidata.org/entity/Q5095211; http://www.wikidata.org/entity/Q5330390; http://www.wikidata.org/entity/Q6391529; http://www.wikidata.org/entity/Q6928276; http://www.wikidata.org/entity/Q7058885; http://www.wikidata.org/entity/Q7121294; http://www.wikidata.org/entity/Q7180184; http://www.wikidata.org/entity/Q7187991; http://www.wikidata.org/entity/Q7709156; http://www.wikidata.org/entity/Q7709159; http://www.wikidata.org/entity/Q8054978; http://www.wikidata.org/entity/Q13018559; http://www.wikidata.org/entity/Q16113806; http://www.wikidata.org/entity/Q18644464; http://www.wikidata.org/entity/Q18644465; http://www.wikidata.org/entity/Q18648701; http://www.wikidata.org/entity/Q25559417; http://www.wikidata.org/entity/Q26425602
http://www.wikidata.org/entity/Q874,http://www.wikidata.org/entity/Q9267; http://www.wikidata.org/entity/Q36831; http://www.wikidata.org/entity/Q1066766
http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q56385; http://www.wikidata.org/entity/Q56467; http://www.wikidata.org/entity/Q56571
http://www.wikidata.org/entity/Q881,http://www.wikidata.org/entity/Q9199; http://www.wikidata.org/entity/Q9205; http://www.wikidata.org/entity/Q32924; http://www.wikidata.org/entity/Q33335; http://www.wikidata.org/entity/Q33370; http://www.wikidata.org/entity/Q35100; http://www.wikidata.org/entity/Q56307; http://www.wikidata.org/entity/Q56407; http://www.wikidata.org/entity/Q56448; http://www.wikidata.org/entity/Q56516; http://www.wikidata.org/entity/Q56878; http://www.wikidata.org/entity/Q72695; http://www.wikidata.org/entity/Q720192; http://www.wikidata.org/entity/Q2233794; http://www.wikidata.org/entity/Q2498808; http://www.wikidata.org/entity/Q2511476; http://www.wikidata.org/entity/Q2625410; http://www.wikidata.org/entity/Q2932485; http://www.wikidata.org/entity/Q2948019; http://www.wikidata.org/entity/Q2967321; http://www.wikidata.org/entity/Q2967709; http://www.wikidata.org/entity/Q3100264; http://www.wikidata.org/entity/Q3112363; http://www.wikidata.org/entity/Q3127568; http://www.wikidata.org/entity/Q3138831; http://www.wikidata.org/entity/Q3196077; http://www.wikidata.org/entity/Q3236789; http://www.wikidata.org/entity/Q3347428; http://www.wikidata.org/entity/Q3429088; http://www.wikidata.org/entity/Q3436700; http://www.wikidata.org/entity/Q3439680; http://www.wikidata.org/entity/Q3441115; http://www.wikidata.org/entity/Q3441136; http://www.wikidata.org/entity/Q3446668; http://www.wikidata.org/entity/Q3446675; http://www.wikidata.org/entity/Q3446682; http://www.wikidata.org/entity/Q3504110; http://www.wikidata.org/entity/Q3507920; http://www.wikidata.org/entity/Q3511919; http://www.wikidata.org/entity/Q3512660; http://www.wikidata.org/entity/Q3626597; http://www.wikidata.org/entity/Q3914632; http://www.wikidata.org/entity/Q3914636; http://www.wikidata.org/entity/Q3915207; http://www.wikidata.org/entity/Q3915785; http://www.wikidata.org/entity/Q3915794; http://www.wikidata.org/entity/Q4957737; http://www.wikidata.org/entity/Q5105629; http://www.wikidata.org/entity/Q5202780; http://www.wikidata.org/entity/Q6378404; http://www.wikidata.org/entity/Q6380673; http://www.wikidata.org/entity/Q6403501; http://www.wikidata.org/entity/Q6440803; http://www.wikidata.org/entity/Q6441572; http://www.wikidata.org/entity/Q6472114; http://www.wikidata.org/entity/Q6583562; http://www.wikidata.org/entity/Q6583606; http://www.wikidata.org/entity/Q6583692; http://www.wikidata.org/entity/Q6901726; http://www.wikidata.org/entity/Q7188298; http://www.wikidata.org/entity/Q7188376; http://www.wikidata.org/entity/Q7514021; http://www.wikidata.org/entity/Q7675746; http://www.wikidata.org/entity/Q7675751; http://www.wikidata.org/entity/Q7675795; http://www.wikidata.org/entity/Q7675842; http://www.wikidata.org/entity/Q7678544; http://www.wikidata.org/entity/Q7812881; http://www.wikidata.org/entity/Q7862029; http://www.wikidata.org/entity/Q8842956; http://www.wikidata.org/entity/Q12632107; http://www.wikidata.org/entity/Q12632753; http://www.wikidata.org/entity/Q12645578; http://www.wikidata.org/entity/Q12953069; http://www.wikidata.org/entity/Q12953525; http://www.wikidata.org/entity/Q12953680; http://www.wikidata.org/entity/Q12953747; http://www.wikidata.org/entity/Q12953891; http://www.wikidata.org/entity/Q12953921; http://www.wikidata.org/entity/Q13018551; http://www.wikidata.org/entity/Q15771431; http://www.wikidata.org/entity/Q15977293; http://www.wikidata.org/entity/Q16111971; http://www.wikidata.org/entity/Q16115463; http://www.wikidata.org/entity/Q22694600; http://www.wikidata.org/entity/Q22694631; http://www.wikidata.org/entity/Q22694648; http://www.wikidata.org/entity/Q22808951; http://www.wikidata.org/entity/Q22911598; http://www.wikidata.org/entity/Q22911602; http://www.wikidata.org/entity/Q22970290; http://www.wikidata.org/entity/Q23857582; http://www.wikidata.org/entity/Q39868240
http://www.wikidata.org/entity/Q884,http://www.wikidata.org/entity/Q9176; http://www.wikidata.org/entity/Q129648; http://www.wikidata.org/entity/Q3073428
http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q9267; http://www.wikidata.org/entity/Q13336; http://www.wikidata.org/entity/Q27898; http://www.wikidata.org/entity/Q29379; http://www.wikidata.org/entity/Q32689; http://www.wikidata.org/entity/Q33202; http://www.wikidata.org/entity/Q33398; http://www.wikidata.org/entity/Q33419; http://www.wikidata.org/entity/Q33639; http://www.wikidata.org/entity/Q33777; http://www.wikidata.org/entity/Q33894; http://www.wikidata.org/entity/Q34053; http://www.wikidata.org/entity/Q34081; http://www.wikidata.org/entity/Q34196; http://www.wikidata.org/entity/Q34208; http://www.wikidata.org/entity/Q56833; http://www.wikidata.org/entity/Q178440; http://www.wikidata.org/entity/Q1066787; http://www.wikidata.org/entity/Q1193495; http://www.wikidata.org/entity/Q2605045; http://www.wikidata.org/entity/Q2640637; http://www.wikidata.org/entity/Q3444203; http://www.wikidata.org/entity/Q3472220; http://www.wikidata.org/entity/Q3474654; http://www.wikidata.org/entity/Q3812406; http://www.wikidata.org/entity/Q3877569; http://www.wikidata.org/entity/Q4159744; http://www.wikidata.org/entity/Q4689093; http://www.wikidata.org/entity/Q7124567; http://www.wikidata.org/entity/Q12642194; http://www.wikidata.org/entity/Q12642198; http://www.wikidata.org/entity/Q12645075; http://www.wikidata.org/entity/Q12645561; http://www.wikidata.org/entity/Q16112270; http://www.wikidata.org/entity/Q16112855; http://www.wikidata.org/entity/Q23713532; http://www.wikidata.org/entity/Q23713536
http://www.wikidata.org/entity/Q902,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q5646; http://www.wikidata.org/entity/Q9610; http://www.wikidata.org/entity/Q32952; http://www.wikidata.org/entity/Q33173; http://www.wikidata.org/entity/Q33492; http://www.wikidata.org/entity/Q33584; http://www.wikidata.org/entity/Q33868; http://www.wikidata.org/entity/Q33907; http://www.wikidata.org/entity/Q33965; http://www.wikidata.org/entity/Q35947; http://www.wikidata.org/entity/Q36137; http://www.wikidata.org/entity/Q36147; http://www.wikidata.org/entity/Q37059; http://www.wikidata.org/entity/Q56308; http://www.wikidata.org/entity/Q56321; http://www.wikidata.org/entity/Q56431; http://www.wikidata.org/entity/Q56765; http://www.wikidata.org/entity/Q1951521; http://www.wikidata.org/entity/Q2044560; http://www.wikidata.org/entity/Q3241177; http://www.wikidata.org/entity/Q3241618; http://www.wikidata.org/entity/Q3350576; http://www.wikidata.org/entity/Q3450749; http://www.wikidata.org/entity/Q3501850; http://www.wikidata.org/entity/Q6425038; http://www.wikidata.org/entity/Q6426945; http://www.wikidata.org/entity/Q6808589; http://www.wikidata.org/entity/Q7130962; http://www.wikidata.org/entity/Q7402721; http://www.wikidata.org/entity/Q7682361; http://www.wikidata.org/entity/Q12635902; http://www.wikidata.org/entity/Q12644231; http://www.wikidata.org/entity/Q12953063; http://www.wikidata.org/entity/Q12953860; http://www.wikidata.org/entity/Q16115423; http://www.wikidata.org/entity/Q21403256
