country,officialLanguages
http://www.wikidata.org/entity/Q16,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q17,http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q20,http://www.wikidata.org/entity/Q9043; http://www.wikidata.org/entity/Q25164; http://www.wikidata.org/entity/Q25167; http://www.wikidata.org/entity/Q56463
http://www.wikidata.org/entity/Q25,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q9309
http://www.wikidata.org/entity/Q27,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q9142
http://www.wikidata.org/entity/Q30,http://www.wikidata.org/entity/Q7976
http://www.wikidata.org/entity/Q33,http://www.wikidata.org/entity/Q1412; http://www.wikidata.org/entity/Q9027
http://www.wikidata.org/entity/Q35,http://www.wikidata.org/entity/Q9035
http://www.wikidata.org/entity/Q36,http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q38,http://www.wikidata.org/entity/Q652
http://www.wikidata.org/entity/Q40,http://www.wikidata.org/entity/Q188; http://www.wikidata.org/entity/Q36668
http://www.wikidata.org/entity/Q43,http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q45,http://www.wikidata.org/entity/Q5146; http://www.wikidata.org/entity/Q13330
http://www.wikidata.org/entity/Q55,http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q77,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q79,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q96,http://www.wikidata.org/entity/Q1321; http://www.wikidata.org/entity/Q13300; http://www.wikidata.org/entity/Q13354; http://www.wikidata.org/entity/Q1661395
http://www.wikidata.org/entity/Q114,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q115,http://www.wikidata.org/entity/Q28244
http://www.wikidata.org/entity/Q117,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q142,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q145,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q727694
http://www.wikidata.org/entity/Q155,http://www.wikidata.org/entity/Q5146; http://www.wikidata.org/entity/Q3436689
http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q211,http://www.wikidata.org/entity/Q9078
